WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,JOBSAL
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,월 급여
5,615902,6,2,3,2,51,7,1,150
6,615902,6,2,3,2,53,7,1,80
7,615902,6,2,3,2,55,7,1,120
4,615904,8,4,3,2,23,7,2,120
3,616002,6,4,3,3,31,5,1,70
4,616102,6,4,4,2,46,5,1,100
5,616102,6,4,4,2,48,5,1,125
7,616102,6,4,4,2,52,5,1,140
4,616103,1,4,3,3,19,6,2,40
5,616103,1,4,3,3,21,6,2,150
1,616202,6,3,3,4,43,8,1,358
2,616202,6,3,3,4,44,8,1,450
3,616202,6,3,3,4,46,8,1,400
4,616202,6,3,3,4,48,8,1,500
5,616202,6,3,3,4,50,8,1,550
6,616202,6,3,3,4,52,8,1,650
3,616203,2,7,4,3,22,7,2,170
4,616203,2,7,4,3,24,7,2,170
5,616203,2,7,4,3,26,7,2,210
6,616203,2,7,4,3,28,7,2,220
5,616204,2,7,2,2,25,7,2,180
6,616204,2,7,2,2,27,7,2,210
7,616402,6,3,3,3,43,4,1,120
3,616602,7,3,3,2,37,4,1,80
4,616602,7,3,3,2,39,4,1,123
4,616702,5,4,3,2,37,6,1,500
5,616702,5,4,3,2,39,6,1,125
6,616702,5,4,3,2,41,6,1,350
7,616702,5,4,3,2,43,6,1,340
2,616802,9,2,5,2,20,4,2,120
3,616802,9,2,5,2,22,4,2,165
4,616802,9,2,5,2,24,4,2,210
6,616902,12,0,4,6,57,5,1,100
2,617001,12,0,3,6,54,5,1,40
3,617001,12,0,3,6,56,5,1,40
4,617001,12,0,3,6,58,5,1,60
5,617001,12,0,3,6,60,5,1,60
6,617001,12,0,3,6,62,5,1,30
1,617201,12,0,5,6,60,2,1,75
2,617201,12,0,5,6,61,2,1,75
3,617201,12,0,5,6,63,2,1,75
4,617201,12,0,5,6,65,2,1,75
5,617201,12,0,5,6,67,2,1,70
3,617402,6,4,3,2,42,7,1,98
5,617502,6,1,5,4,44,4,1,160
6,617502,6,1,5,4,46,4,1,190
6,617503,3,4,3,2,25,7,2,150
1,617601,2,4,3,2,34,4,1,160
2,617601,2,4,3,2,35,4,1,175
3,617601,2,4,3,2,37,4,1,175
4,617601,2,4,3,2,39,4,1,230
4,617702,6,1,4,3,35,4,1,175
5,617702,6,1,4,3,37,4,1,130
6,617702,6,1,4,3,39,4,1,75
1,617802,6,2,3,2,45,5,1,600
6,617802,6,2,3,2,54,5,1,500
7,617802,6,2,3,2,56,5,1,350
1,617902,6,1,3,2,37,4,1,200
2,617902,6,1,3,2,38,4,1,250
3,617902,6,1,3,2,40,4,1,400
4,617902,6,1,3,2,42,4,1,350
5,617902,6,1,3,2,44,4,1,330
6,617902,6,1,3,2,46,4,1,420
7,617902,6,1,3,2,48,4,1,320
6,618002,6,3,2,2,44,4,1,100
7,618002,6,3,2,2,46,4,1,100
5,618302,6,2,4,3,41,4,1,160
6,618302,6,2,4,3,43,4,1,150
7,618302,6,2,4,3,45,4,1,150
4,618402,6,2,3,4,35,6,1,120
3,618602,7,2,3,6,46,5,1,45
4,618602,7,2,3,6,48,5,1,50
5,618602,7,2,3,6,50,5,1,100
6,618602,7,2,3,6,52,5,1,50
7,618602,7,2,3,6,54,5,1,50
1,618702,6,2,2,3,46,4,1,150
6,619003,6,1,2,1,57,2,1,150
7,619003,6,1,2,1,59,2,1,250
6,619103,6,2,4,2,58,2,1,120
7,619103,6,2,4,2,60,2,1,150
3,619202,6,2,2,2,47,3,1,200
4,619202,6,2,2,2,49,3,1,50
5,619202,6,2,2,2,51,3,1,200
6,619202,6,2,2,2,53,3,1,200
7,619202,6,2,2,2,55,3,1,200
1,619301,6,1,5,2,51,2,1,140
2,619301,6,1,5,2,52,2,1,130
3,619301,6,1,5,2,54,2,1,150
4,619301,6,1,5,2,56,2,1,100
5,619301,6,1,5,2,58,2,1,200
6,619301,6,1,5,2,60,2,1,200
7,619301,6,1,5,2,62,2,1,70
5,619502,6,1,4,2,60,2,1,30
6,619502,6,1,4,2,62,2,1,20
7,619502,6,1,4,2,64,2,1,20
3,619602,6,4,3,2,38,4,1,80
4,619602,6,4,3,2,40,4,1,80
3,620102,1,4,1,1,66,2,1,70
5,620102,1,4,1,1,70,2,1,50
6,620102,1,4,1,1,72,2,1,100
7,620102,1,4,1,1,74,2,1,50
7,620302,6,2,4,2,61,3,1,80
4,620304,6,3,3,3,30,6,2,150
7,620304,6,3,3,3,36,6,1,27
1,620602,6,2,3,3,42,3,1,20
2,620702,6,2,3,2,33,6,1,100
3,620702,6,2,3,2,35,6,1,180
4,620702,6,2,3,2,37,6,1,120
5,620702,6,2,3,2,39,6,1,50
6,620702,6,2,3,2,41,6,1,200
7,620702,6,2,3,2,43,6,1,300
4,620902,9,3,4,2,38,5,1,100
5,620902,9,3,4,2,40,5,1,120
7,620902,9,3,4,2,44,5,1,200
1,621002,6,3,3,1,36,7,1,250
2,621002,6,3,3,1,37,7,1,200
3,621002,6,3,3,1,39,7,1,280
4,621002,6,3,3,1,41,7,1,400
5,621002,6,3,3,1,43,7,1,416
1,621102,6,3,3,2,34,7,1,300
2,621102,6,3,3,2,35,7,1,250
3,621102,6,3,3,2,37,7,1,300
4,621102,6,3,3,2,39,7,1,250
5,621102,6,3,3,2,41,7,1,330
6,621102,6,3,3,2,43,7,1,500
7,621102,6,3,3,2,45,7,1,500
5,621202,6,2,4,2,48,6,1,90
6,621202,6,2,4,2,50,6,1,150
7,621202,6,2,4,2,52,6,1,115
1,621602,6,2,4,2,33,6,1,40
2,621602,6,2,4,2,34,6,1,70
3,621602,6,2,4,2,36,6,1,90
4,621602,6,2,4,2,38,6,1,30
5,621602,6,2,4,2,40,6,1,150
7,621602,6,2,4,2,44,6,1,250
1,621802,6,1,3,3,36,3,1,100
2,621802,6,1,3,3,37,3,1,80
3,621802,6,1,3,3,39,3,1,100
7,622102,6,2,3,2,58,4,1,180
5,622104,7,4,2,2,25,6,2,200
1,622301,10,6,2,2,37,7,1,200
2,622301,10,6,2,2,38,7,1,150
3,622301,10,6,2,2,40,7,1,100
4,622301,10,6,2,2,42,7,1,300
5,622301,10,6,2,2,44,7,1,375
6,622301,10,6,2,2,46,7,1,450
7,622301,10,6,2,2,48,7,1,450
1,622602,7,3,3,3,29,5,1,80
1,622702,5,2,2,3,48,5,1,60
2,622702,5,2,2,3,49,5,1,120
3,622702,5,2,2,3,51,5,1,120
1,622802,6,1,3,3,49,2,1,30
2,622802,6,1,3,3,50,2,1,100
2,622902,6,2,3,3,44,3,1,75
7,622902,6,2,3,3,54,3,1,50
1,623002,6,2,3,3,46,3,1,75
2,623002,6,2,3,3,47,3,1,85
3,623002,6,2,3,3,49,3,1,80
4,623002,6,2,3,3,51,3,1,80
5,623002,6,2,3,3,53,3,1,134
6,623002,6,2,3,3,55,3,1,160
7,623002,6,2,3,3,57,3,1,180
5,623004,9,3,3,2,21,6,2,200
6,623004,9,3,3,2,23,6,2,220
7,623004,9,3,3,2,25,6,2,180
1,623202,12,0,4,6,38,5,1,200
2,623304,6,2,3,3,32,5,1,60
1,623402,6,1,3,2,45,4,1,200
2,623402,6,1,3,2,46,4,1,100
3,623402,6,1,3,2,48,4,1,230
4,623402,6,1,3,2,50,4,1,150
5,623402,6,1,3,2,52,4,1,200
6,623402,6,1,3,2,54,4,1,180
7,623402,6,1,3,2,56,4,1,180
4,623602,6,3,3,3,32,4,1,150
4,623702,3,3,2,2,44,5,1,200
