,,성장환경,,,,개인 spec.,,,,,,일자리 특징,,,,종속변수,,,,,,,,
WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,P02ED07,P02MC01,P02ED16,WCSEL01,PP99RA,WCKD,WCEMP,JOBSAL,P03SJ01,P03RT04,P03JH03,P06SJ01,P06RT04,W10EJ01B,W09SJ01,W09TW09D
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,고등학교 종류,대학전공,대학소재지,일자리구분(정규/비정규),직위,직장종류,사업체 직원 수,월 급여,첫 직장입직,첫 직장 퇴직,첫직장 유지,새로운 일자리 입직,하던일 퇴직,최근 일자리 그만둔 시점,이전일자리 입직,이전일자리 퇴직
1,3802,6,2,4,2,62,2,1,,,,,,,,,1983,1987,2,,,1992,1989,1992
2,3802,6,2,4,2,63,2,1,,,,,,,,,,,,,,,,
3,3802,6,2,4,2,65,2,1,,,,,,,,,,,,,,,,
4,3802,6,2,4,2,67,2,1,,,,,,,,,,,,,,,,
5,3802,6,2,4,2,69,2,1,,,,2,1,9,1,20,,,,,,,,
6,3802,6,2,4,2,71,2,1,,,,,,,,,,,,,,,,
7,3802,6,2,4,2,73,2,1,,,,,,,,,,,,,,,,
1,3902,5,1,4,3,43,4,1,3,,,,3,,,0,1983,1984,2,,,,1993,1995
3,3902,5,1,4,3,46,4,1,,,,,3,,,,,,,,,,,
1,3903,5,4,3,2,23,7,2,-9,1,18,2,1,3,7,140,2002,2002,2,,,,2007,2007
2,3903,5,4,3,2,24,7,2,,,,2,1,3,5,150,,,,,,,,
3,3903,5,4,3,2,26,7,2,,,,2,1,3,5,150,,,,,,,,
1,3904,5,4,4,2,21,6,2,3,-9,-9,1,1,1,5,150,2006,2006,2,,,,2006,2006
3,3904,5,4,4,2,24,6,2,,,,1,1,1,4,180,,,,,,,,
1,4002,6,2,2,2,40,3,1,,,,,2,,,0,1981,1988,2,,,,1981,1988
2,4002,6,2,2,2,41,3,1,,,,,2,,,0,,,,,,,,
3,4002,6,2,2,2,43,3,1,,,,,2,,,70,,,,,,,,
4,4002,6,2,2,2,45,3,1,,,,,2,,,200,,,,,,,,
5,4002,6,2,2,2,47,3,1,,,,,2,,,200,,,,,,,,
6,4002,6,2,2,2,49,3,1,,,,,2,,,350,,,,,,,,
